lecture_number,slide_number,image_path,ocr_text,transcript
1,1,C:\Users\Sonali\Downloads\coa_basic_Slides\slides\lec1-2\lec1-2_p0001.png,"<title>Layered Computer Design</title>
<diagram>
This diagram illustrates the layered computer design, mapping personnel roles to corresponding layers.
It shows a hierarchy of layers with arrows indicating dependencies, starting from the application level down to transistors.

**Personnel Column:**
Algorithm Designer
Programmer
System Personnel
Computer Architect
Computer Designer
Logic Designer
Chip Designer

**Layer Column:**
Application Layer
Algorithm Layer
High-Level Language Layer
Operating System Layer
Architecture Layer
Microarchitecture Layer
Logic Layer
Transistor Layer

The roles ""Computer Architect"" and ""Computer Designer"", and the layers ""Architecture Layer"" and ""Microarchitecture Layer"" are highlighted.
</diagram>","If you see a computer design in a layered view, there are several layers starting from the
application layer and all the way up to transistor layer. And each of these layers specifies set
of operations and for example, if you consider application layer. So, talks about the type of
applications that run on a computer. In general, a computer can run any application and so on,
but in reality when we design a computer, we design a computer for specific purposes. For
example, if we consider super computer. Our target applications for super computer are high
end applications, which are the weather modeling, molecular simulations and etcetera.
On the other hand, if we consider a desktop computer our target applications are email, word
processing and etcetera. So, depending on the type of applications for which we want to
design a computer, we need to define our requirements and we tune our designs for
optimizing those requirements. After this application layer, the next layer is algorithmic
layer. So, in the algorithmic layer typically once the application is defined.
Now, we need to see, what are the characteristics of the applications. Such as what type of
data this application takes, what type of operations we can perform, how the operations
sequencing happen and is there any implicit parallelism among the operations, we have to
define all these things. And once we define these things, the next step is to come with the step
by step procedure to compute the outputs for the application. So once the algorithmic layer is
completed, effectively like, we have an algorithm the next one is we need to translate this
algorithm into a high level programming language.
Effectively, we code this algorithm into a high level programming language, such as C, C++,
Java or Fortran. Once we code a high level program, the next step is, we need to run this high
level program on the computer. But to run that we need operating system layer, which
effectively specifies the system software which include operating systems, compilers, linkers,
assemblers and so on. So, these are the actual routines which help executing our high level
program on the real hardware.
And the next comes the architectural layer. So, this architectural layer specifically describes
the instruction set architecture. This instruction set architecture is nothing but the set of the
instructions, instruction formats, operands, addressing modes, I/O-mechanisms, memory
model and all these things. And once we have an ISA, our system software level, especially
the complier, converts the program into the machine understandable form by using this ISA.
Through this architectural level, all the other layers are actually corresponds to hardware and
all the other layers above architectural layer correspond to the software. In other words the
architectural layer is the interface between the software and hardware. Once ISA is defined,
our next task is to have the functional units which execute the instruction specified by ISA
and that comes in microarchitectural layer. In other words microarchitecture or also called as
organization, deals with the functional units and the interconnection among these functional
units to realize the ISA specified at the architectural layer.
And once the microarchitectural layer is defined, the next one is the logic layer which
actually consists of digital circuits both combinational and sequential circuits. And the
components in the logic layer are the flip flops and gates. Using these flip flops and gates, we
build digital circuits both combinational sequential circuits. And the last layer is the transistor
layer which actually consists of transistors, resistors, capacitors and all these are used to build
the gates and the transistors.
So, effectively, if you see this, the layered view of computer design, except the application
layer, all other layers implement the layer above. For example, a transistor layer implements
whatever is available at the logic layer. And the logic layer implements whatever is defined at
the microarchitectural layer. And microarchitectural layer defines, implements, whatever is
there in architectural layer and so on.
So, because our course is on computer architecture, we mainly focus on two layers - those are
architectural layer and microarchitectural layer. So, having discussed this layered view of
computer design, now we will define what is computer architecture."
1,2,C:\Users\Sonali\Downloads\coa_basic_Slides\slides\lec1-2\lec1-2_p0003.png,"<title>Defining Computer Architecture</title>
<bullet>Functionality – Instruction set architecture</bullet>
<bullet>Organization – Microarchitecture</bullet>
<bullet>Efficient Implementation</bullet>
<bullet>Personal mobile devices – Energy efficiency, responsiveness</bullet>
<bullet>Desktop computing – Price-performance</bullet>
<bullet>Servers – Availability, scalability, throughput</bullet>
<bullet>Embedded computers – Price</bullet>","The computer architecture defines mainly the functionality or functional requirements of a
computer that we want to design, which is specified by the instruction set architecture. Next
one is the organization and also called as the microarchitecture, which is nothing but the
interconnection of functional units to realize ISA and finally, the efficient implementation.
How do we define one implementation is efficient?
So, to do that first of all we need to see what are the classes of computers because depending
on the type of the class of computer our efficiency matrix can be defined. If you see different
classes of computers, we have personal mobile devices, desktop computers, servers and
embedded computers. And each of these computers have different functional requirements
and they need to be designed for optimizing different metrics and so on.
If we consider, for instance personal mobile devices, here the main important thing is
responsiveness and predictiveness, and because these personal mobile devices are operated
using battery, so our main design requirement is energy efficiency. When we want to design a
personal mobile device, we have to design in such a way that the energy efficiency is
improved. On the other hand, if we consider servers, because the servers are used by multiple
users simultaneously to execute their programs and so on.
So, here the requirements, functional requirements, are availability and scalability. And
because these are multiple users are using, so when we design a server type of system, we
have to design the system to optimize the throughput and similarly, for the other type of
computers."
1,3,C:\Users\Sonali\Downloads\coa_basic_Slides\slides\lec1-2\lec1-2_p0004.png,"<title>Flynn's Classification of Computer Architectures</title>
<diagram>
This slide presents Flynn's Classification of Computer Architectures, divided into four categories: SISD, SIMD, MISD, and MIMD, each with a diagram showing data and instruction pools connected to processing elements (PEs) and associated characteristics.

**SISD (Single Instruction, Single Data):**
- Diagram: Single Instruction Pool feeds one PE, Single Data Pool feeds one PE.
- Instruction-level parallelism
- Uniprocessor systems

**SIMD (Single Instruction, Multiple Data):**
- Diagram: Single Instruction Pool feeds multiple PEs, Single Data Pool feeds multiple PEs.
- Data parallelism
- Vector architectures
- Multimedia extensions
- GPUs

**MISD (Multiple Instruction, Single Data):**
- Diagram: Multiple Instruction Pools feed multiple PEs, Single Data Pool feeds multiple PEs.
- No commercial implementation

**MIMD (Multiple Instruction, Multiple Data):**
- Diagram: Multiple Instruction Pools feed multiple PEs, Multiple Data Pools feed multiple PEs.
- Thread-level parallelism
- Tightly coupled MIMD
- Request-level parallelism
- Loosely-coupled MIMD
- WSC
</diagram>","The Flynn’s classification of computer architectures, there are four groups of computer
architectures starting with SISD, single instruction and single data stream. So, we have
instructions are taken from a single instruction stream and then these instructions are operated
on single data stream. And here typically we exploit the instruction level parallelism among
the instructions of the program.
And the example processors are computers belong to these class of computer architecture are
uniprocessor system. The next class of computer architecture is SIMD, single instruction and
multiple data. Here, we have instruction from a single instruction stream, but these
instructions are operated on multiple data streams. Effectively, we can exploit the parallelism
available at the data level. And the example systems that belong to this class of computer
architecture are vector architectures, array processors, GPUs, multimedia extensions and so
on.
And the third class of computer architecture is MISD, multiple instructions and single data
stream, but actually this class of computer architecture is defined just for the completeness
sake, but there is no commercially viable implementation of systems belonging to this
particular class. And the last class of computer architecture is MIMD, multiple instructions
and multiple data. Here instructions are taken from multiple instruction streams and these can
be operated on multiple data streams simultaneously.
So, effectively we can exploit parallelism available at thread level. And example systems that
belong to this class of computer architecture are multicore processors."
1,4,C:\Users\Sonali\Downloads\coa_basic_Slides\slides\lec1-2\lec1-2_p0005.png,"<title>Course Objectives</title>
<bullet>Understanding the fundamentals of computer architecture</bullet>
<bullet>Understanding the design of superscalar processors</bullet>
<bullet>Providing an overview on multi-core processors</bullet>","Having defined the computer architecture and discussed the various classes of computer
architectures and so on, now we are going to discuss the course objectives. By the way, in
this course we mainly focus on two classes of computer architectures. One is SISD, single
instruction single data stream and the second one is MIMD, multiple instruction and multiple
data streams. Effectively we will consider a unicore processor systems as well as multicore
processor systems and discuss the internals in detail.
So, main objectives of the course are three fold. We discuss mainly, the fundamentals of
computer architecture, because understanding the fundamentals of computer architecture
helps in building efficient computer systems and so on. And next we will discuss in detail,
understanding of the Superscalar processor design, because if you consider any of the current
day multicore processors, each of the individual cores are internally designed as Superscalar
processors.
Here, in this part we discuss how out-of-order execution happens and how dynamic execution
happens and so on. And finally, the third objective of the course is to provide an overview on
multicore processors. Especially, issues related to multi-core processors such as the cache
coherency, synchronization and memory consistency."
1,5,C:\Users\Sonali\Downloads\coa_basic_Slides\slides\lec1-2\lec1-2_p0006.png,"<title>Syllabus</title>
<bullet>Instruction Set Principles (1 week)</bullet>
<bullet>Memory Hierarchy Design (2 weeks)</bullet>
<bullet>Fundamentals of Pipelining (1 week)</bullet>
<bullet>Exploiting Instruction-Level Parallelism (2 weeks)</bullet>
<bullet>Exploiting Thread-Level Parallelism (2 weeks)</bullet>","This course is a twenty hour lecture course and we consider the syllabus for this course like
this. One week of lectures on instruction set principles, two weeks of lectures on memory
hierarchy designs, specifically concentrating on cache memory design and DRAM based
memory design. And one week of lectures on understanding the fundamentals of pipelining,
issues related to pipelining such as pipeline hazards and how to resolve those pipeline
hazards. And two weeks of lectures on exploiting instruction level parallelism available in
SISD type of computer architectures.
And in this the section we also discuss the out-of-order execution, Superscalar processors,
dynamic scheduling and all the other things. And finally, the last two weeks of the course, we
discuss exploiting thread level parallelism, especially discussing things related to multicore
architecture."
1,6,C:\Users\Sonali\Downloads\coa_basic_Slides\slides\lec1-2\lec1-2_p0007.png,"<title>Reference Books</title>
<bullet>J.L. Hennessy and D.A. Patterson. Computer Architecture: A Quantitative Approach. Morgan Kaufmann. 5th Edition, 2012.</bullet>
<bullet>J.P. Shen and M.H. Lipasti. Modern Processor Design. Fundamentals of Superscalar Processors. McGraw-Hill International, 2005.</bullet>
<bullet>B. Jacob, N.G. Spencer, and D. Wang. Memory Systems: Cache, DRAM, and Disk. Morgan Kaufmann, 2006.</bullet>","So, for this course we use these three reference books “Computer architecture - A
quantitative approach by Hennessy and Patterson” and “Modern processor fundamentals of
superscalar processors”. Especially this is for understanding the internals of superscalar
processors and this is by “Shen and Lipasti”. And the third one is especially for DRAM
based memory based design, we consider “Memory systems” book by “Jacobs, Spencer’s and
Wang”. So, with this brief overview, I would like to stop this module.
Thank you."
2,1,C:\Users\Sonali\Downloads\coa_basic_Slides\slides\lec2-4\lec2-4_p0001.png,"<title>Growth in Processor Performance</title>
<diagram>A logarithmic line graph showing the relative performance of processors versus year, from 1978 to 2012. Early processors like VAX-11/780 are shown with low performance, increasing exponentially over time. The graph indicates a 25%/year growth rate in the early period, then 52%/year, and later settling to 22%/year, with various Intel and other manufacturers' processors marked on the curve.</diagram>","So, here we need to understand a point, given an ISA, we can come up with multiple
microarchitectures. For example, Intel Xeon processor and AMD Opteron processor, uses the
same ISA, 64-bit X86 ISA. So, that says that, based on the application requirements we come
up with the functional requirements and we fix our ISA. But after fixing the ISA, we need to
come up with an efficient microarchitecture because there are multiple microarchitectures
you can realize for a given ISA.
Now, the second point is, once microarchitecture is fixed, it can be implemented differently.
An example is a Xeon 7560 and core i7 processors from Intel, both have almost the same
microarchitecture, but their implementations are different. When I say implementation is
different, so they may clock at different frequencies and they may have different memory
systems and so on. So, from these two points, it says that the computer architecture is nothing
but the design space exploration because each microarchitecture and each implementation
will have a different power performance points. So, you have a spectrum of design points and
you need to select a good design point, based on your application requirements.
So, now if we come up with an efficient computer architecture, which in turn provides us an
efficient computer. So, how do we come up with efficient computer architecture? What are
the principles we need to follow? The first point is taking the advantage of parallelism. If you
see the computer, or if you see the computer design, we can exploit the parallelism at various
granularities starting from a finer granular point, which is a bit level parallelization, all the
way up to very coarse grain parallelism which is the thread level parallelism.
If you see, if you recall the graph whatever we have shown in the previous foil, the
architectural innovations constitutes all these things. In the initial phase of the processor
performance graph, we saw that it is mainly because of bit level parallelization from the
architectural point of view, we were getting an improvement. And when we come to the
extreme end, the architecture innovations are mainly because of the core level parallelization,
or the thread level parallelization. So, when I say a bit level parallelization rather than
performing operations on let us say 4 bits, if we perform operations parallel on 8 bits, we can
get more performance improvement.
So, effectively now, what is going to happen is, when I consider an 8 bit processor, if I want
to perform two 64 and 16 bit number addition, I need to read two instructions one for LSB 8
bits and the other for MSB 8 bits. On the other hand, if I consider a 16 bit processor, I can do
that in using a one instruction. So, this second point is instruction level parallelism, because
most of the applications, if you see the instructions can be independent in some scenarios or
even if they are dependent, we can overlap their operations, execution of the instruction can
be overlapped. For example, if you see the lifetime of an execution of an instruction, the
instruction will follow through a different stages. First is the Fetch, second is Decode, third
one is Execute, Memory Read, Memory Write and finally the Commit ((Refer Time: 12:17)).
So, if you see here, when an instruction is in the Decode stage, the next instruction can be in
the Fetch stage. Similarly, when the first instruction goes to data read, the second instruction
will go to decode and third instruction will go to fetch stage and so on. So, effectively we can
overlap the execution of instructions, this is called as a pipelining concept. We can exploit
pipelining concept to improve the processor performance and this is especially true, when the
instructions in some sense are dependent and so on. But, when the instructions are completely
independent and so on, and if the processor supports multiple functional units and so on, we
can actually execute these instructions independently and that is what the Superscalar
processors are going to do.
We are going to discuss these pipelining and superscalar concepts, when we come to the
corresponding modules. But the instruction level parallelism is one of the main contributors
for a significant growth of processor performance. After this instruction level parallelism, the
next level of parallelism we can exploit is at the data level. Example - if you consider a
graphics application, we may not always need operations to be performed on a 32 bit data,
and most of the times it may be on byte level data, 8 bit data and so on.
You can perform operations, a single operation on multiple data items. In other words
operations can be performed on a data string, this is an example of SIMD - single instruction
multiple data stream. Whatever we discussed in the last module the Flynn’s classification of
computer architecture, SIMD is one of the classifications. So, SIMD architectures typically
exploit the data level parallelization and SISD exploits the instruction level parallelism.
And after this data level parallelization, the next component is the Thread level
parallelization. Here if an application can be divided into multiple tasks or threads and if we
have a hardware support to run these threads simultaneously, we can improve the
performance at a rapid pace. So, all these independent threads can be executed on multiple
cores and they will give you a significant improvement by reducing the overall computation
time of that application. So effectively now, in order to exploit these different types of
parallelization, starting from bit level all the way to the thread level, we need to have a
support from the microarchitecture, the hardware, the ISA. In other words, the architecture
needs to be supporting all these things to exploit these parallelizations. The next component
is principle of locality.
What is principle of locality? Typically there is a thumb rule which says that a program
spends 90 percent of its execution time in only 10 percent of the code. This says that, the data
and instructions that we used recently will be required mostly in the near future. So, there are
two types of principles of locality, one is the spatial locality and the other one is temporal
locality.
What is spatial locality? Spatial locality indicates that, if we access some data or instructions
now, there is a high chance that I will access the nearby data and instructions to that
particular recently accessed element. Now temporal locality indicates that if I access an item
now, there is a high chance that the same item will be accessed in the near future. So, how
can we exploit this principle of locality?
For that our microarchitecture needs to have a cache memory. We know that the data and
instructions typically stored in the memory. Now always going to the memory to access these
instructions and data will be very costly, because the processor frequency is much higher
compared to the clock rate with which the memory is operating. So, as a result if you are
always going to the memory, we are going to degrade the performance significantly.
So, as result what we can do is whenever we go to the memory, we bring a large chunk of
data from the memory and put that in a fast memory, which is called as a cache memory,
designed using SRAM ((Refer Time: 178:33)) based technology. When I say large chunk of
data, it will not be in kilobytes or whatever, but typically we consider 32 bytes or 64 bytes of
data. Anyway we are going to discuss the cache memory in detail in the next unit.
So, effectively we need to have the architecture that should exploit parallelism available at
varied granularities. And also we need to have computer architecture, which need to support
the cache memory. The third and the most important component for improving the
performance or to come up with an efficient computer design is focusing on the common
case. For example, consider a scenario where you have a pipelined processor where different
stages of pipelines are - Fetch, Decode, Memory Read, Execute and Commit. And you also
have set of functional units - adders, integers-multipliers, floating point multipliers and so on.
But if we see a scenario for executing most of the applications, we frequently access or use
our fetch unit, decode unit, execute unit and so on, as compared to using the floating point
multiplier. Given this scenario, we always have to put our efforts in optimizing this fetch unit,
decode unit, execute unit and so on. Rather than putting our efforts on optimizing, a floating
point multiplier. How do we quantify that? If I optimize a particular component, how much
performance I can get? Because, we need to have some quantification mechanism so that
before actually designing the processor, we will validate different alternatives and then come
up with the best one. So, to do that we consider the famous Amdahl’s law."
2,2,C:\Users\Sonali\Downloads\coa_basic_Slides\slides\lec2-4\lec2-4_p0003.png,"<title>Principles of Computer Design</title>
<bullet>Computer Architecture = ISA + Microarchitecture + Implementation</bullet>
<bullet>A single ISA can be realized using multiple microarchitectures</bullet>
<bullet>Both Intel Xeon and AMD Opteron processors use 64-bit x86 ISA</bullet>
<bullet>Same microarchitecture can be implemented differently</bullet>
<bullet>Xeon 7560 and Core i7 processors from Intel have almost the same microarchitecture but provide different clock rates and memory systems</bullet>
<bullet>Take advantage of parallelism</bullet>
<bullet>Bit-level</bullet>
<bullet>Instruction-level</bullet>
<bullet>Data-level</bullet>
<bullet>Thread-level</bullet>
<bullet>Principle of locality</bullet>
<bullet>A program spends 90% of its execution time in only 10% of the code</bullet>
<bullet>Spatial and temporal locality</bullet>
<bullet>Focus on the common case</bullet>","Before describing what is Amdahl’s law, let us define “Speedup”.
Speedup=The performance of anentire taskusing anenhancement applied when possible
The performance of theentire task ,without using anenhancement
Let us think we have an enhancement that we want to apply on a piece of code. When I
apply, what is the performance I am going to get and without applying that what is the
performance I am going to get and when I take the ratio of this then what I am going to get
“Speedup”. That shows that, we will get this much Speedup when I apply this particular
enhancement on the piece of code.
Now, having defined the speedup, let us look at the Amdahl’s law. Amdahl’s law states that
performance improvement to be gained from using some enhancement is limited by the
fraction of the time the enhancement can be used. So, remember it has two components one is
“The performance improvement to be gained by using some enhancement” and the second
one is “The fraction of time the enhancement can be applied”. So, if the fraction of time the
enhancement applied if 0, then you are not going to gain any performance improvement.
On the other hand, for the complete execution of the time if the enhancement is applied then
you will get a significant improvement in the performance. So, by the way the performance is
inversely proportional to the execution time. So, as a result the speedup can also be written as
Execution timefor theentire task, without using anyenhancement
Speedup=
Theexecution timefor theentire task ,whenusingthe enhancement when possible
So, this Amdahl’s law can be expressed as “the speedup achieved because of the
enhancement applied” and “the fraction of time the enhancement is possible” which is
nothing but it is -
1
Speedup=
Fractionof timeEnhancement
(1−Fractionof thetime applied
Enhancementis
applied)+
The speedupachieved because of enhancement
We know that speedup enhanced is calculated by this particular formula, so this shows that
even when you apply enhancement, your overall performance is actually dictated by the
fraction of the time the enhancement is considered."
2,3,C:\Users\Sonali\Downloads\coa_basic_Slides\slides\lec2-4\lec2-4_p0007.png,"<title>Amdahl's Law</title>
<text>Speedup = Performance_entire task using the enhancement when possible / Performance_entire task without the enhancement</text>
<text>= ExecutionTime_entire task without the enhancement / ExecutionTime_entire task using the enhancement when possible</text>
<bullet>Performance improvement to be gained from using some enhancement is limited by the fraction of the time the enhancement can be used</bullet>
<text>ExecTime_new = ExecTime_old × [(1 - Fraction_enhanced) + Fraction_enhanced / Speedup_enhanced]</text>
<text>Speedup_overall = ExecTime_old / ExecTime_new = 1 / [(1 - Fraction_enhanced) + Fraction_enhanced / Speedup_enhanced]</text>","So, let us consider few examples to understand this Amdahl’s law and then comparing design
alternatives for different processors. The first example is to consider two processors – Aold
and Anew, and Aold spends 30% of the time in computation and 70% of the time waiting for I/O
operations. Some enhancements are incorporated in Anew Processor, so that it achieves 15
times improvement in the computation time. What is the overall speedup gained by
incorporating the enhancement to know whether Anew is better or Aold is better. So, we need to
find the performance achieved with Anew and Aold, for that we use the Amdahl’s law whatever
we discussed in the previous slide.
According to Amdahl’s law,
1
SpeedupOverall=
fractionenhanced
(1−fractionof enhanced)+
speedupenhanced
This is effectively like you can say,
1
SpeedupOverall=
Fractionof timeenhancement
Fraction of componentenhancement isconsidered
not
applied+
Speedupachieved because of theenhancement
And from the data given in the problem statement,
FractionOf Enhanced=0.3
because 30% of the computation on 70% time is spent for the I/O. And we are applying the
enhancement only for the computation part. So, effectively our enhancement applied to 0.3%
of your total execution time and 0.7% of the time, where no enhancements are applied and
when I apply the enhancement, we know that the speedup we achieve is 15 times.
Substituting these values, so we will get -
SpeedupOverall=1.38
This is effectively says that Anew processor will be having 1.389 times speedup with respect to
Aold. So, effectively we can go for this enhancement and improve the performance."
2,4,C:\Users\Sonali\Downloads\coa_basic_Slides\slides\lec2-4\lec2-4_p0008.png,"<title>Example #1</title>
<bullet>Consider two processors A_old and A_new. A_old spends 30% time in computation and 70% time waiting for I/O. Some enhancements are incorporated in A_new so that it achieves 15× improvement in the computation time. What is the overall speedup gained by incorporating the enhancement?</bullet>
<text>According to Amdahl's law:</text>
<text>Speedup_overall = 1 / [(1 - Fraction_enhanced) + Fraction_enhanced / Speedup_enhanced]</text>
<text>Fraction_enhanced = 0.3</text>
<text>Speedup_enhanced = 15</text>
<text>Speedup_overall = 1 / [(1 - 0.3) + 0.3 / 15]</text>
<text>= 1.389</text>","Consider second example, application where floating point instructions are responsible for 50
percent of the execution time for an application while floating point square root is responsible
for 20 percent of the execution time, and compare the following design alternatives, assuming
that both alternatives require the same effort. Design 1 is make all floating point operations in
the processor run faster by 1.6 times, the design 2 is speedup floating point square root
operation by 10 times speedup.
So, if we just without computing, if we just look at this design 1, design 2 and we may be
tempted to say that floating point square root operation will be better, because it gives a 10
times speedup versus1.6 speedup for the design 1. Now let us see whether that is true or false.
According to again Amdahl’s law,
1
SpeedupOverall=
Fractionof timewhere enhancement applied
Fractionof timeenhancement
not
applied+
Speedup achievedwith theenhancement
For the design 1, where we make all floating point operations, execute much faster by 1.6
times and we know that floating point operations constitute 50% of the execution time.
So effectively,
1
SpeedupOverall= =1.23
0.5
1−0.5+
1.6
Overall speedup we achieve with the design 1 is 1.23 with respect to the base processor. And
design 2 we know that floating point square root operations constitutes 20% of the execution
time. So, effectively 0.8% of the time no enhancement applied and 0.2 times we get an
improvement of 10x in executing the floating point square root operations. So, when we
substitute these values in the Amdahl’s law, we get the speedup of 1.22. So, this shows that
design 1 is better than design 2. Remember in these two examples, we consider the
optimizations incorporated within a processor, but actually Amdahl’s law can be applied
across processors also."
